Series_Title,Gross
It's a Wonderful Life,1483643
Ayla: The Daughter of War,946947
Vikram Vedha,546792
Paths of Glory,5252
Tumbbad,1691980
Drishyam,13076265
K.G.F: Chapter 1,6421597
Gangs of Wasseypur,4384642
The Message,743981
To Kill a Mockingbird,592237
Judgment at Nuremberg,12180
Soul,946154
A Wednesday,3256911
Hachi: A Dog's Tale,46749646
Mary and Max,1740429
Munna Bhai M.B.B.S.,48772
Dilwale Dulhania Le Jayenge,74965
Fitzcarraldo,2874
The Elephant Man,26010864
Network,23689877
Barry Lyndon,253700
Solaris,22168
Persona,90556
Sanjuro,46808
White Heat,5534
The Circus,27425
Airlift,9323484
G.O.R.A.,20839049
Vizontele,968318
Rosemary's Baby,1287
Who's Afraid of Virginia Woolf?,28000000
Sweet Smell of Success,7704
The Killing,203
Roman Holiday,13701
In a Lonely Place,21493
Kind Hearts and Coronets,35948
Rope,10590
Brief Encounter,88110
Dil Bechara,45171
C.R.A.Z.Y.,3710169
Amarcord,125493
Harold and Maude,1464
The Manchurian Candidate,2757256
The Searchers,1071
East of Eden,24679
The Philadelphia Story,404524
Freaks,276591
The Gentlemen,36471795
Raazi,1812763
Sound of Metal,516520
Udta Punjab,359891
Days of Heaven,3446749
The Man Who Would Be King,12678
Badlands,54396
Bonnie and Clyde,1475
Red River,14462
To Have and Have Not,12459
Shadow of a Doubt,714
The Lady Vanishes,40010
Bringing Up Baby,11180
Duck Soup,104397
Roma,1140769
The Taking of Pelham One Two Three,357
Where Eagles Dare,7100000
Repulsion,33174
Cape Fear,79091969
Invasion of the Body Snatchers,24946533
Rebel Without a Cause,212780
The Ladykillers,39799191
Sabrina,1730
The Day the Earth Stood Still,79366978
The Invisible Man,70410000
Dark Waters,11136084
Just Mercy,36001502
Victoria,3245470
Funny Games,1294919
Breakfast at Tiffany's,589612
Giant,32855818
The 39 Steps,51951
